id,date,transaction
0,2024/01/01,+5024.2
1,2024/01/10,+3510.3
2,2024/01/11,+5329.1
3,2024/01/19,-90.9
4,2024/01/26,+3543.1
5,2024/01/30,-29.1
6,2024/01/31,+6011.1
7,2024/02/01,-59.9
8,2024/02/13,+4529.9
9,2024/02/20,+2814.2
10,2024/02/23,+8537.7
11,2024/03/04,+3521.2
12,2024/03/07,+9572.8
13,2024/03/14,+6844.5
14,2024/03/15,-90.6
15,2024/03/18,-81.5
16,2024/03/19,+2882.5
17,2024/03/21,+6293.3
18,2024/03/24,+7252.2
19,2024/03/27,-56.2
20,2024/04/02,+3071.4
21,2024/04/04,+5548.6
22,2024/04/12,+1076.8
23,2024/04/16,+4742.0
24,2024/04/26,+2018.4
25,2024/04/27,+9594.2
26,2024/05/01,+9260.6
27,2024/05/10,-74.9
28,2024/05/10,-34.5
29,2024/05/12,-76.1
30,2024/05/25,+8046.2
31,2024/05/29,+2048.7
32,2024/05/30,+5720.6
33,2024/05/30,+6670.2
34,2024/06/02,-74.2
35,2024/06/08,+8493.2
36,2024/06/10,+8266.9
37,2024/06/15,+8923.5
38,2024/06/16,+1016.4
39,2024/06/16,+6949.0
40,2024/06/25,+2276.1
41,2024/06/30,-79.2
42,2024/07/18,+4058.2
43,2024/07/21,+3665.6
44,2024/07/23,+6085.0
45,2024/07/28,-54.9
46,2024/07/30,+2953.2
47,2024/07/31,+5644.2
48,2024/08/02,+5765.5
49,2024/08/04,+8042.3
50,2024/08/06,-63.1
51,2024/08/06,+9669.9
52,2024/08/08,-97.3
53,2024/08/08,+8237.1
54,2024/08/10,+7784.4
